Ponds	Group	Reada	Readb	Readc	Readd	Reade	Max	ATP	AdjustATP
A1	4_degree	4	3	5	2	7	7	0.059063257	0.059063257
A2	Control	5	4	4	5	11	11	0.17718977	0.17718977
A3	5_degree	18	10	13	15	18	18	0.383911169	0.383911169
A4	Urban_Rural	7	6	7	6	9	9	0.118126513	0.118126513
A5	1_degree	7	11	7	6	6	11	0.17718977	0.17718977
A6	4_degree	18	25	21	19	19	25	0.590632567	0.590632567
ControlAa	ATP_control	3	4	3	3	5	5	0	0
B1	1_degree	191	190	222	218	200	222	6.437894986	6.437894986
B2	Urban	11	8	8	14	11	14	0.295316284	0.295316284
B3	6_degree	5	10	6	6	7	10	0.17718977	0.17718977
B4	Control	11	14	7	13	7	14	0.295316284	0.295316284
B5	Rural	71	66	61	89	58	89	2.510188412	2.510188412
B6	7_degree	33	38	46	47	53	53	1.44704979	1.44704979
ControlBa	ATP_control	4	4	2	4	4	4	0	0
C1	Urban_Rural	8	14	10	8	5	14	0.295316284	0.295316284
C2	2_degree	11	17	20	19	27	27	0.679227453	0.679227453
C3	4_degree	7	8	7	6	4	8	0.118126513	0.118126513
C4	8_degree	10	4	3	9	6	10	0.17718977	0.17718977
C5	2_degree	41	55	60	57	54	60	1.653771189	1.653771189
C6	Rural	20	19	14	23	26	26	0.649695824	0.649695824
ControlCa	ATP_control	4	3	2	3	2	4	0	0
D1	Rural	11	10	12	7	12	12	0.236253027	0.236253027
D2	4_degree	11	8	14	16	9	16	0.35437954	0.35437954
D3	6_degree	66	65	62	44	56	66	1.830960959	1.830960959
D4	2_degree	7	13	12	16	15	16	0.35437954	0.35437954
D5	Urban	37	43	35	36	37	43	1.151733507	1.151733507
D6	Control	58	45	67	66	49	67	1.860492588	1.860492588
ControlDa	ATP_control	4	2	3	2	4	4	0	0
E1	4_degree	9	11	7	5	9	11	0.118126513	0.118126513
E2	7_degree	5	8	10	5	11	11	0.118126513	0.118126513
E3	Urban	26	33	29	24	30	33	0.767822338	0.767822338
E4	4_degree	7	10	5	8	6	10	0.088594885	0.088594885
E5	3_degree	59	50	60	63	68	68	1.801429331	1.801429331
E6	Rural	47	43	31	65	51	65	1.712834446	1.712834446
